,name,rating,provider,lat,lon,city
333,Meşhur Cengiz Yıldırım Aspava (Eti Mah.),4.8,GETIR,39.9334,32.8597,ANKARA
334,Agonyalı Mevlana Pide (Cerrahpaşa Mah.),4.7,GETIR,41.0082,28.9784,ISTANBUL
335,"Dois Döner, Çankaya (Çamlıtepe Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
336,Devran Tatlıcısı (Karagümrük Mah),4.4,GETIR,41.0082,28.9784,ISTANBUL
337,Oses Çiğ Köfte,3.9,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
338,"Tadın Lahmacun, Merkez (Çarşı Mah.)",4.4,GETIR,38.6748,39.2225,ELAZIĞ
339,Akçiçek Mangal (Ayvansaray Mah.),4.7,GETIR,41.0082,28.9784,ISTANBUL
340,Cevizli Çiğ Köfte (Ali Kuşçu Mah.),0.0,GETIR,41.0082,28.9784,ISTANBUL
341,"Coffeesand, Çankaya (Remzi Oğuz Arık Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
342,Seyidoğlu (Hobyar Mah.)   ,0.0,GETIR,41.0082,28.9784,ISTANBUL
343,"Ustam Pide, Mamak  ( Balkiraz Mah. )",4.6,GETIR,39.9334,32.8597,ANKARA
344,"Sanaç Fast Food, Merkez (Çaydaçıra Mah.)",4.0,GETIR,38.6748,39.2225,ELAZIĞ
345,Popüler Döner (Yücetepe Mah.),4.4,GETIR,39.9334,32.8597,ANKARA
346,"Hazarhan Çiğ Köfte, Merkez (İzzet Paşa Mah.)",4.2,GETIR,38.6748,39.2225,ELAZIĞ
347,"Kor Ateş Köfte & Kokoreç, Mamak (Saime Kadın Mah.) ",4.6,GETIR,39.9334,32.8597,ANKARA
348,Mado,4.0,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
349,Cajun Corner (Cebeci Mah.)   ,3.7,GETIR,39.9334,32.8597,ANKARA
350,Antep Kürek Lahmacun,4.3,YEMEK_SEPETI,39.9334,32.8597,ANKARA
351,Mister Burger,4.5,YEMEK_SEPETI,39.9334,32.8597,ANKARA
352,"Chocolabs Chocolate & Coffee, Çankaya (Bestekar Mah.)",4.3,GETIR,39.9334,32.8597,ANKARA
353,"Oses Çiğ Köfte, Mamak (Balkiraz Mah.)",4.2,GETIR,39.9334,32.8597,ANKARA
354,"Küşane Homemade Fast Food, Merkez (Ataşehir Mah.)",0.0,GETIR,38.6748,39.2225,ELAZIĞ
355,Chicken Bros (Mimar Hayrettin Mah.),4.2,GETIR,41.0082,28.9784,ISTANBUL
356,Harrbi Efsane Lezzet,4.0,YEMEK_SEPETI,39.9334,32.8597,ANKARA
357,"Deli's Burger, Çankaya (Muhsin Ertuğrul Mah.)",4.7,GETIR,39.9334,32.8597,ANKARA
358,"City Pizza, Keçiören (Şefkat Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
359,"Coffy, Altındağ (Hacettepe Mah.)",4.2,GETIR,39.9334,32.8597,ANKARA
360,"Salkım Kilo Mangal, Merkez (Yeni Mah.)",4.2,GETIR,38.6748,39.2225,ELAZIĞ
361,"Burger Buffs, Merkez (Cumhuriyet Mah.)",4.5,GETIR,38.6748,39.2225,ELAZIĞ
362,"Prof. Waffle, Kumpir & Lokma , Mamak (Balkiraz Mah.)",4.2,GETIR,39.9334,32.8597,ANKARA
363,Arf Gala Kokoreç (Cerrahpaşa Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
364,"Ekleristan, Çankaya (Cebeci Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
365,"Et Burger Bağlıca, Etimesgut (Bağlıca Mah. - Mermeroğlu Cad.)",4.4,GETIR,39.9334,32.8597,ANKARA
366,"Hazan Köfte Evi, Merkez (İzzet Paşa Mah.)",4.2,GETIR,38.6748,39.2225,ELAZIĞ
367,"2 Lokma, Fatih (Şehremini Mah.)",0.0,GETIR,41.0082,28.9784,ISTANBUL
368,İmç Unkapanı Pilavcısı Adem Usta (Cerrahpaşa Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
369,Gaziantepli Muhteşem Baklava,4.0,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
370,Harbiye Dürümcüsü (Harbiye Mah.),4.3,GETIR,41.0082,28.9784,ISTANBUL
371,"Midyeci İbrahim, Keçiören (19 Mayıs Mah.)",2.9,GETIR,39.9334,32.8597,ANKARA
372,"Acıktım Kilo Mangal 2, Merkez (Cumhuriyet Mah.)",3.9,GETIR,38.6748,39.2225,ELAZIĞ
373,"Tavuk Döner 23, Merkez (Yeni Mah.)",3.9,GETIR,38.6748,39.2225,ELAZIĞ
374,"Çorbacı Hasan, Çankaya (Remzi Oğuz Arık Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
375,Route Burger House (Kemankeş Karamustafapaşa Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
376,"Hanedan Döner, Çankaya (Fakülteler Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
377,"Köfte Dünyası, Merkez (Mustafapaşa Mah.)",4.6,GETIR,38.6748,39.2225,ELAZIĞ
378,"Tadım Döner, Kartaltepe Mah.",3.7,GETIR,39.9334,32.8597,ANKARA
379,Bay Baget Sandwich (Tunalı),4.8,GETIR,39.9334,32.8597,ANKARA
380,"Abi 63 Beyzade Lahmacun, Çankaya (Balgat - Nasuh Akar Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
381,Onur Kuzu Döner & Kebap (Aşağı Eğlence Mah.),4.3,GETIR,39.9334,32.8597,ANKARA
382,"Masal Kilo Mangal, Merkez (Sürsürü Mah.)",4.4,GETIR,38.6748,39.2225,ELAZIĞ
383,Paşam Kebap & Lahmacun,3.6,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
384,"Özle Döner, Çankaya (Eti Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
385,"Komagene Etsiz Çiğ Köfte, Sıhhıye",4.4,GETIR,39.9334,32.8597,ANKARA
386,"Değişik Laa Ütü Bazlama & Fast Food, Çankaya (Tınaztepe Mah.)",0.0,GETIR,39.9334,32.8597,ANKARA
387,Taze Kuru (Ergenekon Mah.)   ,4.4,GETIR,41.0082,28.9784,ISTANBUL
388,Mevlana Pide (Koca Mustafa Paşa Mah.)   ,3.1,GETIR,41.0082,28.9784,ISTANBUL
389,"Bolulu Hasan Usta, Çankaya (Bahçelievler Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
